main_player,compared_player,player_url,nationality,nationality_url,squad,squad_url,comparison_url
Lionel-Messi,Karim Benzema,/en/players/70d74ece/Karim-Benzema,fr FRA,/en/country/FRA/France-Football,Real Madrid,/en/squads/53a2f082/Real-Madrid-Stats,/en/stathead/player_comparison.cgi?show_form=1&request=1&sum=0&comp_type=by_type&dom_lg=1&player_id1=d70ce98e&p1yrfrom=2021-2022&player_id2=70d74ece&p2yrfrom=2021-2022
Lionel-Messi,Kylian Mbappé,/en/players/42fd9c7f/Kylian-Mbappe,fr FRA,/en/country/FRA/France-Football,Paris Saint-Germain,/en/squads/e2d8892c/Paris-Saint-Germain-Stats,/en/stathead/player_comparison.cgi?show_form=1&request=1&sum=0&comp_type=by_type&dom_lg=1&player_id1=d70ce98e&p1yrfrom=2021-2022&player_id2=42fd9c7f&p2yrfrom=2021-2022
Lionel-Messi,Memphis Depay,/en/players/8f696594/Memphis-Depay,nl NED,/en/country/NED/Netherlands-Football,Barcelona,/en/squads/206d90db/Barcelona-Stats,/en/stathead/player_comparison.cgi?show_form=1&request=1&sum=0&comp_type=by_type&dom_lg=1&player_id1=d70ce98e&p1yrfrom=2021-2022&player_id2=8f696594&p2yrfrom=2021-2022
Lionel-Messi,Cristiano Ronaldo,/en/players/dea698d9/Cristiano-Ronaldo,pt POR,/en/country/POR/Portugal-Football,Manchester United,/en/squads/19538871/Manchester-United-Stats,/en/stathead/player_comparison.cgi?show_form=1&request=1&sum=0&comp_type=by_type&dom_lg=1&player_id1=d70ce98e&p1yrfrom=2021-2022&player_id2=dea698d9&p2yrfrom=2021-2022
Lionel-Messi,Andrej Kramarić,/en/players/603cb947/Andrej-Kramaric,hr CRO,/en/country/CRO/Croatia-Football,Hoffenheim,/en/squads/033ea6b8/Hoffenheim-Stats,/en/stathead/player_comparison.cgi?show_form=1&request=1&sum=0&comp_type=by_type&dom_lg=1&player_id1=d70ce98e&p1yrfrom=2021-2022&player_id2=603cb947&p2yrfrom=2021-2022
Lionel-Messi,Robert Lewandowski,/en/players/8d78e732/Robert-Lewandowski,pl POL,/en/country/POL/Poland-Football,Bayern Munich,/en/squads/054efa67/Bayern-Munich-Stats,/en/stathead/player_comparison.cgi?show_form=1&request=1&sum=0&comp_type=by_type&dom_lg=1&player_id1=d70ce98e&p1yrfrom=2021-2022&player_id2=8d78e732&p2yrfrom=2021-2022
Lionel-Messi,Ciro Immobile,/en/players/4431aed2/Ciro-Immobile,it ITA,/en/country/ITA/Italy-Football,Lazio,/en/squads/7213da33/Lazio-Stats,/en/stathead/player_comparison.cgi?show_form=1&request=1&sum=0&comp_type=by_type&dom_lg=1&player_id1=d70ce98e&p1yrfrom=2021-2022&player_id2=4431aed2&p2yrfrom=2021-2022
Lionel-Messi,Paulo Dybala,/en/players/e0921a4f/Paulo-Dybala,ar ARG,/en/country/ARG/Argentina-Football,Juventus,/en/squads/e0652b02/Juventus-Stats,/en/stathead/player_comparison.cgi?show_form=1&request=1&sum=0&comp_type=by_type&dom_lg=1&player_id1=d70ce98e&p1yrfrom=2021-2022&player_id2=e0921a4f&p2yrfrom=2021-2022
Lionel-Messi,Kelechi Iheanacho,/en/players/c92e1a31/Kelechi-Iheanacho,ng NGA,/en/country/NGA/Nigeria-Football,Leicester City,/en/squads/a2d435b3/Leicester-City-Stats,/en/stathead/player_comparison.cgi?show_form=1&request=1&sum=0&comp_type=by_type&dom_lg=1&player_id1=d70ce98e&p1yrfrom=2021-2022&player_id2=c92e1a31&p2yrfrom=2021-2022
Lionel-Messi,Joaquín Correa,/en/players/45b9b619/Joaquin-Correa,ar ARG,/en/country/ARG/Argentina-Football,Internazionale,/en/squads/d609edc0/Internazionale-Stats,/en/stathead/player_comparison.cgi?show_form=1&request=1&sum=0&comp_type=by_type&dom_lg=1&player_id1=d70ce98e&p1yrfrom=2021-2022&player_id2=45b9b619&p2yrfrom=2021-2022
